CandidateId,Period,len
688156,166,4
688161,35,1
688162,315,4
688204,78,1
689296,142,3
692148,178,1
692149,49,1
692150,9,1
692151,108,4
694311,122,1
694315,178,1
694329,164,1
694333,184,1
694335,77,1
694345,38,3
695018,625,2
695048,112,1
701717,71,1
701761,32,1
706037,251,10
706061,43,3
708049,103,5
708052,127,2
708058,75,2
708064,227,3
708073,154,2
708080,150,4
708083,89,1
708101,176,3
708120,180,2
708128,177,1
708153,72,2
712009,148,1
716231,89,2
716235,268,3
716239,152,1
716942,121,1
716975,94,5
717016,79,1
717071,63,3
717080,65,1
717086,40,3
717124,102,1
719055,148,3
720685,20,3
720837,177,2
720843,310,5
720847,116,3
720855,178,1
720862,170,3
720868,96,4
720875,211,1
720882,64,4
720890,129,3
720895,105,1
720910,61,1
720918,190,3
720921,229,3
720924,143,1
720927,136,6
720934,352,1
720974,240,1
720977,129,1
720983,24,1
720986,292,2
720993,212,7
720996,109,6
721002,338,1
721009,171,6
721011,75,1
723978,51,1
725609,201,1
725624,107,1
725639,457,7
725644,139,2
725648,223,4
725653,92,5
725659,97,1
725664,225,1
728628,140,2
728630,196,4
728634,46,2
728638,248,1
728643,75,1
728646,373,2
728651,120,3
728656,199,3
728662,44,1
728664,127,2
728666,30,1
728669,175,3
728672,318,2
728675,97,2
731987,93,1
732019,189,4
732024,269,4
732029,83,1
732031,183,6
735974,113,6
735980,40,1
735987,261,6
736023,135,1
736027,119,3
736035,158,5
738442,200,2
738462,46,4
739072,14,1
739074,134,6
739076,98,1
739078,261,5
739080,104,2
739082,304,3
739085,108,9
739093,663,7
739141,53,1
739145,139,4
739201,155,2
739207,237,10
739210,181,7
739212,363,5
739275,147,3
739579,130,1
739589,53,2
739610,27,2
739611,5,1
739624,21,1
739635,127,5
739659,29,2
739670,61,1
739684,447,10
739729,159,4
739735,427,6
739747,160,6
739827,191,5
739845,249,3
739850,402,5
739863,161,5
739939,234,4
739943,89,4
739946,190,3
739951,218,6
739957,140,4
739965,322,1
739966,357,7
739974,110,3
739984,12,1
740022,226,5
740028,289,10
740034,46,5
740042,204,5
740050,170,7
740059,108,3
740062,399,13
740076,85,1
740082,265,3
740089,151,6
740095,297,5
740117,129,5
740123,99,1
740134,146,5
740136,241,8
740142,161,4
740267,303,7
740273,334,10
740276,83,4
740308,412,14
740334,165,1
740341,347,11
740344,65,3
740350,38,2
740353,59,7
740394,180,2
740401,133,5
740404,380,3
740412,334,6
740417,136,5
741844,725,9
742065,16,2
742086,49,1
742234,103,1
743174,85,1
743623,101,3
743995,564,8
744581,177,4
746077,188,1
746111,112,1
746121,58,1
746130,293,2
746132,85,6
746134,58,6
746143,166,5
746199,111,2
747424,138,2
747436,313,17
747538,365,1
747549,352,1
747551,60,1
747556,195,6
747584,208,3
747592,60,2
747600,143,1
747664,298,11
747674,82,2
747678,794,29
747685,352,4
747690,114,5
747700,189,5
747801,227,10
748264,224,9
748996,84,1
749382,60,7
750010,4,1
750700,85,1
750956,288,12
751463,72,2
751650,516,14
752051,161,2
752732,300,15
752825,109,1
752890,234,6
754743,222,5
754745,369,3
754753,214,4
754756,23,1
754763,210,5
754770,290,6
754775,101,3
754776,310,6
754779,388,8
754780,113,1
754783,193,3
754792,264,5
754794,311,2
754797,69,1
756828,74,2
757019,104,5
758275,178,5
759114,67,1
759387,34,1
760332,90,2
760398,102,1
760513,270,10
762098,210,4
762381,319,9
762520,976,12
762544,526,20
762878,120,1
762889,30,1
763335,674,5
765218,240,2
765228,30,1
765537,240,8
765541,93,1
766642,316,2
767031,180,2
767700,398,12
768157,192,2
770156,652,7
771234,110,6
771833,87,1
771885,45,4
773059,167,3
773062,183,6
773065,223,10
774083,66,2
774558,200,1
774711,733,30
775250,9,1
775281,146,2
775287,428,2
775565,39,2
775601,316,10
775848,280,6
776214,245,3
776239,80,1
776551,48,1
776559,451,12
776603,245,2
777190,268,3
779560,1074,26
779763,307,6
784227,437,1
784563,200,5
784666,854,2
784741,858,8
785284,626,16
785532,72,4
785826,148,2
788478,913,39
788772,111,2
790115,391,5
790291,94,4
791206,223,3
792761,203,2
792871,410,6
794042,403,6
796375,541,3
796671,269,3
797768,290,6
797879,533,14
799298,138,6
799530,24576,14
799537,176,7
799629,364,7
800850,40,1
802480,357,1
802547,247,2
803189,283,1
803250,101,5
803390,73,1
803412,208,11
805521,255,9
805621,50,4
806887,230,8
807347,120,4
807679,1326,5
808085,1330,26
808114,471,2
808184,52,7
808662,205,4
808889,110,2
816828,163,3
817163,80,6
818622,158,4
819000,318,5
819542,72,2
819717,123,4
819780,566,12
820583,253,1
820787,30,1
821737,557,8
822250,274,5
823333,1045,10
824038,798,4
824569,403,7
825210,1036,5
826188,130,4
827534,55,1
828336,178,5
829135,260,1
829156,85,2
830358,84,1
831113,1111,28
831250,67,1
831252,68,3
831646,206,5
831757,1180,16
831968,375,2
832831,235,8
832945,83,2
833330,111,1
833666,285,7
836924,388,4
837786,198,2
837931,341,7
838325,580,16
838349,122,5
838812,775,18
839024,153,7
839268,56,1
840477,1444,6
842029,113,1
842927,605,5
843415,14,1
843473,73,4
843674,128,4
843931,67,1
844105,5,1
844367,640,20
844671,310,6
844972,207,5
846523,781,21
848246,461,13
848342,53,1
848912,953,3
849422,518,5
849799,67,2
850605,42,1
850671,733,16
852234,53,1
852269,436,4
852703,337,11
853157,596,2
853269,695,8
855771,19,2
856376,112,2
857251,1474,5
857279,226,3
857881,160,8
859746,92,6
860873,898,13
864636,65,1
865719,201,9
868169,54,2
869089,216,7
870957,90,4
872018,149,6
873192,150,8
874304,88,1
874554,99,3
875312,188,5
875551,301,2
875623,74,1
876421,256,6
876819,19,1
878910,268,6
879180,279,7
880248,156,1
890110,164,2
891266,106,2
892558,48,2
893984,225,7
895640,302,16
897504,810,3
899402,67,5
899818,59,2
901737,210,3
902098,187,3
906915,137,3
906943,222,2
907088,106,1
908908,377,3
909008,34,3
909592,948,48
911591,96,3
911834,357,4
912457,26,1
913895,272,8
916212,669,3
916224,333,16
916306,166,3
916369,474,10
916976,131,5
917595,357,8
917758,85,2
918172,632,13
918752,55,1
919710,263,8
921035,263,4
921058,51,2
924115,105,6
926006,989,17
926356,21,1
926653,204,9
927361,285,13
930665,103,2
930981,132,2
931120,91,5
931130,179,3
931384,267,11
931394,5,1
931649,690,9
931719,938,10
932117,57,2
933447,28,4
935360,88,2
935664,1095,8
935672,82,2
935733,158,1
935752,8,2
937933,392,9
938135,46,1
938321,301,14
940039,190,2
940132,43,2
940175,70,8
941863,204,3
942024,450,9
942462,174,3
942566,500,8
942675,624,9
943078,411,8
943344,49,2
946541,28,1
947372,114,1
947386,651,12
948667,172,5
954380,15,3
954848,329,10
954871,265,4
955353,193,1
955954,45,1
955979,222,7
956148,396,4
958501,34,4
960513,24,1
960684,436,15
962556,272,1
962634,1292,19
964025,56,1
964056,135,2
964067,652,15
964588,172,1
965627,2148,7
966052,719,5
966392,604,14
967536,36,2
967562,16,1
967737,486,12
969236,370,5
969263,486,7
969425,99,5
970997,390,1
971663,51,5
971742,24858,25
972067,9,1
972124,262,2
975141,370,7
975352,1357,15
975606,237,2
976375,59,3
976386,16,1
976399,817,8
976498,40,4
976640,170,3
979854,613,2
980180,50,3
980236,111,6
981585,366,9
982068,314,4
983435,287,5
983623,78,1
983642,80,3
984677,70,3
984727,158,2
986468,1618,8
986927,417,1
988174,87,2
988536,92,2
988691,175,4
988843,304,4
989934,69,1
990477,103,4
990693,256,7
990893,496,4
991247,956,4
992021,328,1
992249,369,1
992887,394,4
992973,100,1
993009,94,1
993106,196,10
993118,264,2
993187,248,7
999005,154,4
1000144,601,17
1006166,175,7
1006616,364,12
1007614,350,7
1008134,64,3
1008528,932,11
1008536,393,6
1008543,75,1
1008574,125,10
1008600,47,1
1008638,122,1
1008643,134,2
1010290,121,1
1010864,115,3
1010988,135,1
1011226,59,4
1011461,49,2
1012431,238,5
1012566,103,3
1012733,1173,5
1013772,297,6
1014167,35,3
1014210,201,6
1014237,187,7
1014243,745,14
1014414,345,4
1014559,491,4
1014627,68,4
1014646,344,5
1015327,226,1
1015594,57,1
1015618,419,9
1015845,39,3
1015902,104,1
1017245,693,11
1017300,233,7
1017367,115,1
1017584,76,2
1018051,397,3
1018898,49,2
1019150,69,3
1019172,533,7
1019183,253,1
1019754,139,4
1020759,222,1
1020849,47,2
1022836,126,2
1023217,128,1
1023905,138,5
1024251,15,3
1024668,583,12
1024676,117,1
1024701,7,1
1024712,217,5
1024727,211,6
1025674,841,20
1025827,303,11
1027106,208,2
1027902,37,3
1027911,396,3
1027925,135,3
1027980,134,1
1028033,17,3
1028117,79,6
1028498,297,7
1028538,67,8
1028548,455,6
1028715,74,3
1030773,727,3
1032297,351,7
1032933,14,1
1033206,277,8
1033285,62,3
1033694,76,5
1033897,282,2
1034218,385,9
1034249,206,3
1034313,47,3
1034319,114,3
1034533,73,1
1035674,42,5
1035724,749,13
1036430,362,4
1036832,64,3
1037729,41,1
1037987,599,14
1038662,408,11
1039495,285,2
1039769,328,11
1039834,76,1
1039851,571,7
1039889,191,2
1039925,183,2
1039964,651,14
1042170,42,1
1042214,64,2
1042685,74,2
1042897,187,1
1043060,121,4
1044083,954,11
1044715,125,3
1044745,144,5
1044792,1,1
1045273,86,1
1045357,13,1
1045433,247,2
1047466,32,3
1047513,49133,25
1048821,36,4
1049647,424,5
1049674,229,7
1049769,1793,9
1049804,162,4
1049829,189,3
1049866,164,3
1049927,215,4
1049945,65,6
1050043,140,2
1052169,108,1
1052613,161,8
1052876,30,2
1053351,54,1
1053555,1143,52
1053912,903,19
1053958,172,3
1054219,39,4
1054273,18,3
1055317,343,4
1055533,79,4
1055577,170,8
1055614,76,7
1057751,178,6
1057832,141,1
1057919,282,17
1061293,55,1
1061513,344,6
1061533,8,1
1061580,1066,5
1063264,819,3
1064372,70,1
1064877,608,6
1064959,166,1
1066015,65,1
1066448,424,5
1066466,641,15
1066630,141,2
1066740,145,6
1066878,615,6
1067051,271,3
1067193,180,2
1067277,175,2
1067300,200,3
1067309,148,1
1067323,107,3
1068608,200,9
1069402,2272,11
1071124,129,2
1071965,706,11
1072047,141,5
1072882,150,1
1072995,532,9
1073095,405,8
1075971,240,3
1076718,4,1
1076817,501,9
1076840,124,3
1077608,785,30
1077638,251,4
1079854,627,8
1079870,721,7
1081335,191,6
1081551,191,3
1081910,307,2
1081997,102,2
1082017,224,1
1082164,668,21
1082189,29,3
1082215,251,5
1082267,80,1
1082287,252,3
1082325,122,1
1085324,97,3
1085957,212,3
1086390,411,23
1087836,51,4
1090025,162,3
1090759,229,3
1091265,203,4
1091599,86,1
1095403,99,4
1096727,77,4
1098329,168,4
1098627,161,9
1100601,61,3
1101587,157,6
1102714,21,2
1103626,63,6
1103695,374,10
1103940,369,5
1104966,180,8
1105273,757,9
1106479,2252,19
1107151,205,9
1107359,370,11
1107663,215,3
1107726,91,1
1107744,496,6
1111942,4,1
1111943,424,2
1111965,35,2
1112803,232,6
1114569,407,9
1114625,2016,30
1114706,109,1
1114995,298,1
1115292,48,6
1117231,45,3
1117320,142,2
1118942,245,4
1121619,66,3
1122081,277,5
1123314,106,3
1123416,303,9
1123421,36,3
1123451,216,12
1124475,6,1
1127871,24,2
1128331,168,1
1128455,15,2
1128805,356,6
1130518,1,1
1130638,642,13
1130687,361,2
1132252,417,11
1132839,178,10
1132869,216,3
1132912,1442,39
1133217,1639,21
1133578,169,7
1133604,325,1
1133641,283,12
1133703,275,12
1133855,157,3
1133904,144,6
1134001,528,24
1136201,164,1
1136452,58,1
1136725,114,1
1138651,180,1
1138691,157,1
1140645,44,1
1140832,207,18
1141030,118,5
1142912,83,4
1143626,114,1
1146299,323,2
1146307,23,1
1147218,177,1
1148537,1,1
1148718,256,7
1149850,32,3
1150765,156,6
1152079,230,4
1152200,348,11
1152216,8,1
1152518,128,10
1152533,256,8
1152913,256,9
1152916,399,18
1152920,340,7
1152926,35,2
1153124,112,6
1154516,457,9
1154921,423,7
1155259,114,1
1159183,104,3
1164363,446,11
1168436,80,1
1168823,240,4
1169838,614,5
1170056,217,6
1171446,288,3
1174640,206,7
1174809,339,6
1175749,680,33
1177931,132,4
1179439,314,9
1179478,138,4
1179546,1078,34
1179742,361,5
1179985,167,3
1180490,131,3
1181038,124,6
1181651,306,6
1185180,178,6
1185753,47,1
1187062,258,8
1187091,272,7
1187098,52,3
1187839,89,1
1187877,232,2
1187879,220,8
1187883,249,6
1190496,51,2
1190534,53,1
1190758,239,21
1191041,178,1
1191189,166,6
1191742,610,5
1193248,171,13
1193433,191,5
1205968,121,3
1207176,262,6
1219511,132,11
1221296,589,13
1221935,346,1
1222873,109,3
1223116,124,2
1224751,129,3
1225099,183,2
1225116,49,1
1226179,381,3
1226406,142,4
1229970,291,4
1230139,419,5
1231933,454,4
1235571,402,3
1240130,31,4
1240709,163,3
1240912,3269,74
1241175,101,2
1241634,219,3
1248464,1216,14
1248469,582,2
1248604,164,8
1249585,215,2
1250704,614,21
1252381,170,3
1253761,57,1
1253900,271,1
1254681,353,9
1255671,809,18
1255852,36,1
1258412,248,8
1258685,247,1
1258944,277,9
1259366,202,2
1260563,101,2
1262565,399,17
1263455,243,4
1263590,234,6
1266823,259,5
1268516,43,1
1268587,97,1
1268591,93,1
1268743,362,14
1268794,46,2
1270752,265,1
1271092,184,2
1271681,648,8
1276327,268,5
1277236,1348,33
1278937,164,1
1279122,584,4
1280590,52,3
1280653,139,1
1284067,14,1
1284591,460,3
1285836,14,1
1285908,65,1
1286196,12,1
1286953,83,3
1288389,646,17
1288566,114,2
1289324,139,11
1292139,520,6
1292625,26,1
1293690,368,5
1295420,33,1
1295579,117,4
1299079,120,1
1300011,355,9
1300181,198,4
1304021,86,2
1304023,205,1
1304125,594,4
1304283,330,2
1304391,187,2
1306245,60,1
1309459,44,1
1309697,306,7
1311067,48,1
1315211,65,1
1315422,553,4
1319990,75,2
1321325,219,8
1322149,12,2
1324649,553,5
1326896,48,2
1326983,706,37
1327019,194,2
1327685,311,7
1328803,90,1
1328981,550,14
1329544,446,9
1333234,345,5
1335894,524,10
1336504,132,3
1339170,413,14
1339688,206,3
1340213,18,1
1340927,169,1
1344393,495,7
1350518,48,2
1353209,248,1
1353802,423,3
1355958,201,6
1356218,88,3
1358039,253,6
1359326,49,1
1360490,11,1
1361277,61,1
1362763,37,1
1362910,168,3
1362941,244,5
1365373,109,6
1365946,230,9
1366935,249,6
1367889,206,5
1370804,229,12
1371082,130,10
1371219,673,14
1371240,10,2
1371947,460,15
1372245,49,1
1374046,176,5
1376001,99,5
1376244,181,8
1378438,196,1
1379445,73084,12
1381000,287,5
1381004,129,1
1383695,103,2
1383825,521,7
1383883,62,1
1383936,125,8
1383955,454,3
1384131,376,1
1384149,22,2
1385248,484,25
1385292,422,3
1385467,265,4
1386396,414,6
1386693,66,2
1388597,121,4
1388661,386,4
1388723,116,7
1388768,320,14
1388796,415,5
1388855,121,2
1388876,151,2
1389290,302,6
1389749,190,5
1390109,93,2
1390145,191,7
1390172,322,11
1390267,65,2
1391508,267,1
1391526,75,3
1391572,75,4
1391791,241,8
1392293,150,1
1392488,49,2
1392577,16,1
1392595,5,1
1393127,22,3
1395472,197,1
1396521,98,1
1397748,805,25
1398557,378,9
1398904,202,1
1398917,594,4
1398927,280,11
1399254,420,5
1399273,40,1
1400587,99,1
1402194,297,4
1402416,67,4
1402583,317,3
1403468,192,6
1405138,197,6
1405935,90,2
1406993,322,8
1409162,449,7
1409663,394,8
1409929,154,1
1410051,228,6
1410084,299,7
1410248,172,2
1411071,33,1
1411401,830,17
1412174,794,3
1412181,116,2
1412443,502,6
1412573,86,1
1413116,99,5
1414310,190,1
1415218,99,2
1417445,249,6
1418128,47,2
1418366,229,3
1418425,164,6
1418939,167,2
1418958,198,5
1419019,121,4
1419568,224,5
1422296,275,2
1422362,323,7
1423871,228,7
1423872,205,4
1423877,375,6
1425454,20,1
1426644,113,5
1427311,94,6
1427569,60,2
1427733,213,23
1430581,35,2
1430670,459,12
1430675,90,1
1431983,873,4
1432422,243,4
1433157,137,17
1433335,62,1
1433767,10,2
1434251,806,9
1437381,1,1
1437433,195,5
1437601,120,2
1438630,126,1
1439711,39,5
1439846,343,3
1439965,55,6
1443163,118,1
1443351,103,2
1443418,244,5
1443715,231,2
1443904,70,1
1443924,136,7
1446259,113,1
1447759,34,2
1448061,756,12
1448355,224,6
1448364,409,8
1449480,42,3
1449548,724,16
1451162,71,2
1451214,8,1
1451874,71,1
1452208,141,8
1452629,210,14
1452753,296,2
1452792,85,1
1453285,423,14
1456658,196,1
1456808,41,3
1456826,245,1
1458807,422,10
1460557,13,1
1461415,178,4
1463193,417,3
1463422,61,2
1463793,56,1
1464339,73,1
1466915,8,1
1467058,69,1
1468269,839,3
1470703,351,2
1471097,54,2
1471496,429,11
1471581,4,1
1471744,120,2
1471758,261,12
1472440,148,5
1474246,1123,7
1475937,103,5
1479153,19,1
1480665,158,6
1482570,245,2
1486367,173,3
1486936,28,1
1491483,5,1
1495105,413,3
1497707,150,3
1499556,479,13
1499632,106,5
1499754,32,2
1499994,112,5
1501172,45,2
1501807,107,2
1503723,20,3
1504788,599,7
1508256,210,6
1508396,43,2
1510678,3,1
1512602,259,1
1512618,177,2
1514812,56,1
1516084,138,3
1516167,302,2
1519166,17,1
1519267,85,2
1522021,1781,26
1523598,402,7
1524680,38,3
1524918,101,1
1525129,33,2
1525692,464,1
1526426,103,4
1529748,49,7
1529805,1051,9
1529815,1354,12
1529930,52,1
1531118,186,8
1531391,74,4
1533571,109,1
1535101,301,13
1537859,162,1
1539023,137,3
1540396,93,2
1542225,73,4
1542434,108,2
1542660,207,2
1543474,140,2
1544114,48886,17
1544509,178,2
1544618,157,1
1544878,162,5
1544961,226,8
1546147,177,1
1548526,245,1
1548747,279,7
1548847,36,1
1549347,48,2
1550262,82,4
1550852,230,8
1551765,128,5
1552527,232,2
1553507,17,1
1554289,29,1
1556659,297,2
1556697,162,9
1556913,642,2
1558435,453,9
1558767,38,4
1558798,102,1
1558999,69,1
1559214,176,3
1562744,327,3
1562817,351,11
1566181,128,2
1572611,210,12
1572693,152,6
1572803,50,3
1572915,5,1
1573000,785,19
1573325,159,7
1575425,81,1
1579866,1316,36
1580665,54,3
1582243,272,8
1586880,2226,40
1588709,189,7
1590327,144,6
1591031,304,1
1593021,151,1
1593723,44,1
1593750,182,1
1593803,188,3
1594365,46,2
1596270,321,5
1598349,8,2
1598469,112,4
1598517,60,1
1598519,378,6
1598523,164,8
1600263,211,2
1600733,124,2
1602091,100,1
1603422,52,2
1603606,482,8
1606045,1278,17
1608295,247,5
1608717,253,3
1609784,220,9
1611350,268,8
1612000,189,2
1612652,135,3
1612658,19,1
1612677,39,1
1613296,367,6
1613510,171,3
1615351,1852,16
1615612,299,5
1616129,308,9
1617311,340,2
1618472,12,1
1620653,41,3
1621061,320,13
1622103,336,4
1623428,10,1
1624411,24,1
1625739,59,3
1626868,144,3
1629640,160,4
1630402,119,1
1630493,355,1
1631054,2,1
1631752,84,5
1632127,61,3
1632337,668,19
1636741,33,1
1636899,448,6
1638033,70,2
1638597,203,7
1644401,94,1
1644719,124,5
1645918,265,5
1646623,265,9
1648812,413,12
1650935,30,1
1651350,408,2
1651544,210,1
1653428,211,16
1653740,209,2
1654136,112,2
1655306,69,1
1655417,321,6
1655431,97,1
1674162,214,7
1675481,25,1
1675943,477,3
1677404,354,11
1677743,171,16
1678373,39,1
1681067,44,4
1681123,17,1
1681426,76,5
1681621,225,1
1681879,154,8
1682438,132,2
1683647,203,2
1684628,294,3
1685391,92,1
1686216,128,1
1689435,230,5
1689598,118,3
1690372,40,2
1692900,95,1
1692934,240,2
1693405,121,6
1695447,265,5
1699494,70,4
1700682,15,1
1701338,542,9
1702993,115,1
1702999,254,5
1706101,273,4
1706138,336,9
1707137,94,2
1707266,897,18
1707598,59,3
1708266,97,3
1709230,45,1
1709239,71,4
1709795,45,1
1710266,618,6
1711631,609,7
1711870,142,15
1712310,79,3
1712329,102,3
1713689,312,3
1714196,110,1
1715040,29,4
1718717,149,4
1719286,501,7
1719289,177,21
1722267,220,1
1722884,24501,10
1725874,13,1
1729236,35,2
1729312,186,3
1729653,94,2
1730201,875,37
1732585,109,1
1732980,330,5
1733047,100,2
1733694,394,9
1737133,201,8
1737574,68,2
1739308,42,1
1739505,741,22
1740258,170,5
1740807,173,5
1740963,212,1
1741206,309,1
1741462,171,3
1742677,519,5
1744644,252,2
1745326,630,7
1746870,135,9
1747624,1149,9
1747858,69,1
1751374,260,7
1752535,212,2
1753776,100,1
1753878,533,5
1754206,101,1
1754260,579,11
1755590,289,7
1755861,98,2
1756943,175,3
1757268,144,1
1757423,417,5
1759470,172,3
1759626,174,4
1759946,508,19
1760082,10,2
1760152,64,5
1762943,141,2
1763223,164,8
1765379,21,1
1770420,140,2
1771634,246,4
1772511,102,4
1772533,267,11
1772661,64,3
1772787,109,2
1772888,413,5
1774465,129,4
1775026,457,11
1776646,177,4
1776657,257,9
1776664,44,2
1776683,135,2
1777120,19,1
1777144,88,4
1777208,85,3
1777218,185,9
1777255,12,1
1777257,11,5
1778493,49,1
1778514,135,5
1778531,12,1
1778583,179,3
1778625,41,4
1780222,115,3
1781195,914,8
1781782,322,2
1781794,156,1
1781930,19,1
1781939,42,3
1782060,62,1
1782068,40,2
1782078,114,1
1783297,156,1
1783492,155,8
1783566,30,1
1783626,86,3
1783635,23,1
1783665,93,4
1783673,134,3
1783677,114,1
1783811,289,3
1784038,885,5
1784240,166,4
1784984,70,1
1785276,39,3
1787409,69,4
1789700,28,1
1790075,538,3
1790201,185,6
1791212,599,7
1793002,23,1
1793692,24507,8
1796040,83,2
1796051,74,4
1796127,80,1
1796362,122,10
1796373,56,1
1796384,22,2
1797250,73,2
1801947,113,9
1803301,101,3
1803351,73,1
1803500,76,3
1804281,76,1
1805064,229,8
1806574,81,3
